run_name,run_id,domain_name,finetune_strategy,pretrained_scheme,seed,task_type,run_state,accuracy,f1,precision,recall,auc,loss,convergence_epochs,training_time,total_parameters,trainable_parameters
CiteSeer_NC_linear_probe_s1_42,4lq6q3t2,CiteSeer_NC,linear_probe,s1,42,node_classification,finished,0.371,0.3604299341768683,0.46582520195054494,0.3640669852766112,0.6970565234134215,1.7819743156433103,176,21.62392020225525,2272523,950278
Cora_NC_linear_probe_b4_42,86kb8ndk,Cora_NC,linear_probe,b4,42,node_classification,finished,0.415,0.4497425336628632,0.557915755689083,0.4753299624625415,0.8111397163549617,1.6154673099517822,174,24.999906539916992,1691660,369415
CiteSeer_NC_linear_probe_s1_84,e546u7c7,CiteSeer_NC,linear_probe,s1,84,node_classification,finished,0.332,0.3237127446945555,0.4494336217852365,0.33598337975595727,0.6749310925628943,1.9022271633148191,195,23.02452540397644,2272523,950278
CiteSeer_NC_linear_probe_s1_126,taixn8ht,CiteSeer_NC,linear_probe,s1,126,node_classification,finished,0.381,0.35361758605040605,0.4966894437184679,0.3444050293511088,0.6733070509896152,1.9252686500549316,163,20.43873405456543,2272523,950278
Cora_NC_linear_probe_b4_84,6h8lxne5,Cora_NC,linear_probe,b4,84,node_classification,finished,0.413,0.43659316721542807,0.5005836677170078,0.47085427922414663,0.803638801050151,1.6532800197601318,154,25.171752214431763,1691660,369415
CiteSeer_NC_linear_probe_s2_42,xy57mm2m,CiteSeer_NC,linear_probe,s2,42,node_classification,finished,0.33,0.3169135303956772,0.5434315849308595,0.3462959045074961,0.7311387877132467,1.639450192451477,142,23.06920599937439,2272523,950278
Cora_NC_linear_probe_b4_126,bqsva1ua,Cora_NC,linear_probe,b4,126,node_classification,finished,0.445,0.4565713613113408,0.5175171762568354,0.486744918225309,0.8150103485006425,1.600790023803711,126,22.27492070198059,1691660,369415
CiteSeer_NC_linear_probe_s2_84,b0o5povc,CiteSeer_NC,linear_probe,s2,84,node_classification,finished,0.338,0.34429232397800735,0.5246415375281355,0.38180910320731826,0.7314517366802368,1.6088526248931885,179,17.512146711349487,2272523,950278
Cora_NC_linear_probe_s1_42,tte18odn,Cora_NC,linear_probe,s1,42,node_classification,finished,0.613,0.6094823925941982,0.7040178362556473,0.5836464030439419,0.8593829387918158,1.2532658576965332,134,21.296154737472538,1691660,369415
CiteSeer_NC_linear_probe_s2_126,8ui7swqa,CiteSeer_NC,linear_probe,s2,126,node_classification,finished,0.407,0.387668649191016,0.5293413465025473,0.39148615763044153,0.7317478040814028,1.5657755136489868,199,19.470786333084103,2272523,950278
Cora_NC_linear_probe_s1_84,02f59sz8,Cora_NC,linear_probe,s1,84,node_classification,finished,0.475,0.5061992817467958,0.6731155835839602,0.5114436853999677,0.8574977185422353,1.4723138809204102,125,22.889145374298096,1691660,369415
CiteSeer_NC_linear_probe_s3_42,nmapruyy,CiteSeer_NC,linear_probe,s3,42,node_classification,finished,0.381,0.36686914805816334,0.5186287222407306,0.37973699297939634,0.7161466702826411,1.6601816415786743,191,22.8098042011261,2272523,950278
Cora_NC_linear_probe_s1_126,gzw5if89,Cora_NC,linear_probe,s1,126,node_classification,finished,0.426,0.4613429133568871,0.5704520521468882,0.5082183382124226,0.8346565018884713,1.7559609413146973,179,17.281116485595703,1691660,369415
CiteSeer_NC_linear_probe_s3_84,c0u98ozg,CiteSeer_NC,linear_probe,s3,84,node_classification,finished,0.376,0.3298598979255386,0.5365482069694351,0.3390431188375302,0.7190580620317991,1.6254303455352783,121,16.047422647476196,2272523,950278
CiteSeer_NC_linear_probe_s3_126,ua8nwjs2,CiteSeer_NC,linear_probe,s3,126,node_classification,finished,0.397,0.3573800484669521,0.5397963698604297,0.3523795437987427,0.7148112620119299,1.5843549966812134,131,19.670642614364624,2272523,950278
Cora_NC_linear_probe_s2_42,5563az8m,Cora_NC,linear_probe,s2,42,node_classification,finished,0.429,0.4643624427573778,0.5862684390580576,0.511361021278936,0.8406713967212013,1.539151906967163,167,22.44234800338745,1691660,369415
CiteSeer_NC_linear_probe_s4_42,pjfgomer,CiteSeer_NC,linear_probe,s4,42,node_classification,finished,0.351,0.34233935604678195,0.49746665540004115,0.3596908471775662,0.7150430190191814,1.6545031070709229,147,18.86503553390503,2272523,950278
Cora_NC_linear_probe_s2_84,4a9mjk42,Cora_NC,linear_probe,s2,84,node_classification,finished,0.44,0.4772979718400235,0.5895425259279475,0.515607039047614,0.8280261620304888,1.6467368602752686,187,25.91092205047607,1691660,369415
CiteSeer_NC_linear_probe_s4_84,rwchd45s,CiteSeer_NC,linear_probe,s4,84,node_classification,finished,0.368,0.32705752304312613,0.5608278428283262,0.3354338232127225,0.7081890433022581,1.63084077835083,110,17.437215566635132,2272523,950278
CiteSeer_NC_linear_probe_s4_126,ifbcnmj8,CiteSeer_NC,linear_probe,s4,126,node_classification,finished,0.424,0.3976109577905347,0.5434295893598219,0.38506477880149786,0.7240711428878158,1.5859990119934082,130,23.905317306518555,2272523,950278
Cora_NC_linear_probe_s2_126,h7c7tlao,Cora_NC,linear_probe,s2,126,node_classification,finished,0.483,0.5194104836541246,0.6197789236938778,0.5196254575113248,0.8481362201096638,1.46580171585083,173,19.77307367324829,1691660,369415
Cora_NC_linear_probe_s3_42,a1cv6j9l,Cora_NC,linear_probe,s3,42,node_classification,finished,0.49,0.5031106519322102,0.6273549849206417,0.5159753270755735,0.8145404399484466,1.5176331996917725,150,25.57007336616516,1691660,369415
CiteSeer_NC_linear_probe_s5_42,w1fvc64l,CiteSeer_NC,linear_probe,s5,42,node_classification,finished,0.348,0.3329260262012002,0.49036915235784617,0.3525517522980868,0.7072388351835378,1.6761276721954346,133,16.534301042556763,2272523,950278
CiteSeer_NC_linear_probe_s5_84,na8kuwbq,CiteSeer_NC,linear_probe,s5,84,node_classification,finished,0.425,0.3907579140201472,0.513329537859088,0.386085644298564,0.7318366132759869,1.5574560165405271,172,21.403204917907715,2272523,950278
