domain,strategy,scheme,task_count,task_type,tasks,baseline_performance,scheme_performance,improvement_pct,mean_std,mean_sem
PTC_MR,full_finetune,s1,2,generative,"node_feat_mask, link_pred",0.5047619047619047,0.6857142857142858,35.84905660377361,0.0755928946018454,0.0436435780471984
PTC_MR,full_finetune,s2,2,contrastive,"node_contrast, graph_contrast",0.5047619047619047,0.5238095238095237,3.773584905660364,0.0164957219768464,0.0095238095238095
PTC_MR,full_finetune,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.5047619047619047,0.5523809523809523,9.433962264150932,0.0719031850978166,0.0415133232718159
PTC_MR,full_finetune,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.5047619047619047,0.4857142857142857,-3.773584905660375,0.0285714285714285,0.0164957219768464
PTC_MR,full_finetune,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.5047619047619047,0.5428571428571428,7.54716981132075,0.0494871659305393,0.0285714285714285
PTC_MR,full_finetune,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.5047619047619047,0.5047619047619047,0.0,0.0329914439536928,0.019047619047619
Cora_NC,linear_probe,b2,1,single,node_feat_mask,0.4823333333333333,0.4383333333333333,-9.122322045611607,0.0276465790529919,0.0159617598584171
Cora_NC,linear_probe,b3,1,single,node_contrast,0.4823333333333333,0.4453333333333333,-7.671043538355214,0.0223681320930768,0.012914247085207
Cora_NC,linear_probe,s1,2,generative,"node_feat_mask, link_pred",0.4823333333333333,0.5046666666666667,4.630269523151368,0.0969656296495481,0.0559831323803081
Cora_NC,linear_probe,s2,2,contrastive,"node_contrast, graph_contrast",0.4823333333333333,0.4506666666666666,-6.565307532826541,0.0285365263010993,0.0164755711416765
Cora_NC,linear_probe,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.4823333333333333,0.4633333333333334,-3.939184519695903,0.0470567033836129,0.0271682003657053
Cora_NC,linear_probe,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.4823333333333333,0.4539999999999999,-5.8742225293711225,0.0173493515728974,0.0100166528008778
Cora_NC,linear_probe,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.4823333333333333,0.4496666666666666,-6.772633033863168,0.0227449628123092,0.0131318104023948
Cora_NC,linear_probe,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.4823333333333333,0.4243333333333333,-12.024879060124395,0.017925772879665,0.0103494497975066
Cora_NC,full_finetune,b2,1,single,node_feat_mask,0.5363333333333334,0.5026666666666667,-6.277190801740222,0.0273191019862171,0.0157726908857613
Cora_NC,full_finetune,b3,1,single,node_contrast,0.5363333333333334,0.5333333333333333,-0.5593536357986537,0.0075718777944003,0.004371625682868
Cora_NC,full_finetune,s1,2,generative,"node_feat_mask, link_pred",0.5363333333333334,0.5206666666666667,-2.921068986948424,0.0531632705289406,0.0306938285508847
Cora_NC,full_finetune,s2,2,contrastive,"node_contrast, graph_contrast",0.5363333333333334,0.513,-4.350528278433827,0.0433012701892219,0.0249999999999999
Cora_NC,full_finetune,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.5363333333333334,0.5293333333333333,-1.3051584835301646,0.0453468117218105,0.0261809939544785
Cora_NC,full_finetune,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.5363333333333334,0.5073333333333333,-5.407085146053474,0.0223681320930768,0.012914247085207
Cora_NC,full_finetune,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.5363333333333334,0.5026666666666667,-6.277190801740222,0.0377535870260474,0.0217970436323624
Cora_NC,full_finetune,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.5363333333333334,0.5146666666666667,-4.0397762585456904,0.0258134331953991,0.0149033926040721
CiteSeer_NC,linear_probe,b2,1,single,node_feat_mask,0.417,0.4123333333333334,-1.1191047162270016,0.0261023626006025,0.015070206073943
CiteSeer_NC,linear_probe,b3,1,single,node_contrast,0.417,0.3523333333333333,-15.507593924860123,0.0253837218179945,0.0146552986246537
CiteSeer_NC,linear_probe,s1,2,generative,"node_feat_mask, link_pred",0.417,0.3613333333333333,-13.349320543565154,0.0258907963055085,0.0149480582165191
